Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Tenés gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a enero 2018,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación lo que va del año?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,0,Universitario,En curso,Lic en Sistemas,No,Developer,,Ruby,,,,,No,0,Neto,Part-Time,15000,Neto,2,2,No,No recibo bono,Uno,10,11-50,Sí,Mejores beneficios,"Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Mujer,34 - 36,Córdoba,10+,2,0,Terciario,Completado,RECURSOS HUMANOS,"Sí, de forma particular",ADMINISTRATIVO,,,,,,,,,,Full-Time,15000,Neto,1,2,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), COMISIONES"
Hombre,24 - 26,Córdoba,6,6,0,Terciario,En curso,Analista en sistema,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,1,2,No,No recibo bono,Uno,12,1-10,No,No cambié de empresa,"Aumento por inflación, Ninguna de las anteriores"
Hombre,27 - 30,Entre Ríos,3,3,0,Universitario,Incompleto,Lic. en Sistemas,"Sí, de forma particular",QA / Tester,,,,Mix,"Selenium, Visual Studio Coded UI, JMeter",,,,,Full-Time,15000,Neto,1,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Mujer,37 - 40,Entre Ríos,10+,10+,3,Universitario,Completado,Licenciada en Nutrición,"Sí, de forma particular",DBA,,,,,,Hadoop,No,0,Bruto,Full-Time,15000,Neto,1,1,No,No recibo bono,Uno,9,11-50,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,24 - 26,Formosa,1,Menos de un año,0,Universitario,Completado,Lic en Sistemas,"Sí, de forma particular","FULLSTACK DB, Dev",,,,,,,,,,Part-Time,15000,Neto,2,2,No,No recibo bono,No,0,101-200,Sí,Salario,Aumento por inflación
Hombre,24 - 26,Mendoza,4,Menos de un año,0,Universitario,En curso,Ingeniería en sistemas de información,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, Javascript",,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,3,4,No,No recibo bono,No,0,11-50,Sí,Salario,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,27 - 30,Provincia de Buenos Aires,5,8,0,Universitario,Incompleto,,"Sí, de forma particular",HelpDesk,,,,,,,"Sí, activa",0,Neto,Full-Time,15000,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Auto (pero tengo que pagar los service y repuestos con mi sueldo)"
Hombre,27 - 30,Santa Fe,3,1,0,Universitario,Incompleto,Ingeniería en sistemas,No,Developer,,"Javascript, PHP",,,,,No,0,Bruto,Part-Time,15000,Bruto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Capacitaciones y/o cursos, WFH (Trabajar desde casa)"
Mujer,27 - 30,Tucumán,3,3,0,Posgrado,Incompleto,Ing en computacion,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,15000,Neto,3,2,No,No recibo bono,No,0,5001-10000,No,No cambié de empresa,Ninguna de las anteriores
