Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especializacion,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a julio 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio
Hombre,21 - 23,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Terciario,En curso,Analista de Sistemas,No,HelpDesk,Part-Time,7450,393,Neto,500,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,18 - 20,GBA,Menos de un ano,Menos de un ano,No,0,Terciario,Completado,Tecnico Programador,"Si, los pago un empleador",Developer,Part-Time,7500,395,Bruto,50,,".NET, C#, CSS, HTML, Javascript, jQuery, Bootstrap, SQL server",,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,18 - 20,Santa Fe,7,Menos de un ano,No,0,Terciario,En curso,Analista en Sistemas,"Si, de forma particular, Si, los pago un empleador",Developer,Part-Time,7500,395,Neto,50,,"HTML, Javascript, jQuery, NodeJS, PHP",,,,,3,2,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa
Hombre,18 - 20,Santa Fe,2,2,Si,1,Universitario,En curso,Ingenieria en Sistemas,"Si, de forma particular",HelpDesk,Part-Time,7500,395,Neto,10,,,,,,,3,3,No,No recibo bono,Dos,6,No,No cambie de empresa
Mujer,34 - 36,Salta,6,3,No,0,Terciario,Incompleto,maestra,"Si, de forma particular",PM,Full-Time,7500,395,Bruto,10,,,,,,,1,1,No,Performance de la compania,Uno,12,No,No cambie de empresa
Hombre,24 - 26,Misiones,2,2,No,0,Terciario,En curso,Tecnico Universitario en TIC,"Si, los pago un empleador",Storage / Backup,Part-Time,7600,401,Bruto,200,,,,,,,2,3,De uno a tres sueldos,Performance de la compania,No,0,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,6,3,No,0,Universitario,En curso,Computacion,"Si, de forma particular",Developer,Full-Time,7700,406,Neto,10,,"CSS, HTML, Javascript, jQuery, Python",,,,,3,3,No,No recibo bono,Uno,20,No,No cambie de empresa
Otros,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Lic. Informatica,"Si, los pago un empleador",Developer,Full-Time,7900,416,Neto,1000,,Java,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Terciario,Completado,Tecnico superior en programacion,No,Developer,Tercerizado (trabajo a traves de consultora o agencia),8000,422,Bruto,10,,"CSS, HTML, Javascript, Angular ",,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,31 - 33,La Rioja,9,4,Si,2,Secundario,Incompleto,,"Si, de forma particular",Soporte Tecnico,Part-Time,8000,422,Neto,200,,,,,,,1,2,Menos de un sueldo,Performance de la compania,Dos,35,No,No cambie de empresa
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,4,1,No,0,Universitario,Completado,Lic. En Publicidad y mercadeo,No,Designer,Full-Time,8000,422,Bruto,10,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Mendoza,2,Menos de un ano,No,0,Terciario,En curso,Tecnicatura Superior en Programacion,"Si, de forma particular",Developer,Freelance,8000,422,Bruto,10,,"CSS, HTML, Javascript, jQuery, Ruby",,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Formosa,2,Menos de un ano,No,0,Universitario,Completado,Lic en Sistemas,No,Developer,Full-Time,8000,422,Neto,10,,"HTML, Javascript, jQuery, PHP",,,,,1,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Entre Rios,1,1,No,0,Terciario,Completado,Diseno grafico,"Si, de forma particular",Designer,Part-Time,8000,422,Bruto,10,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Cordoba,1,1,No,0,Universitario,En curso,Ingenieria en Sistemas,"Si, de forma particular",Developer,Freelance,8000,422,Neto,10,,"CSS, HTML, Javascript",,,,,2,3,No,No recibo bono,Uno,13,No,No cambie de empresa
Hombre,21 - 23,Provincia de Buenos Aires,1,1,No,0,Universitario,Incompleto,Sistemas y tecnicatura de desarrollo y aplicaciones informaticas,No,Developer,Freelance,8000,422,Bruto,10,,Ruby,,,,,2,3,No,Performance individual,No,0,Si,Cerro
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1,1,No,0,Universitario,En curso,sistemas,No,Developer,Part-Time,8000,422,Neto,10,,"CSS, HTML, Javascript, jQuery, PHP",,,,,3,2,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,24 - 26,Mendoza,1,1,No,0,Universitario,En curso,Licenciatura en Sistemas,"Si, de forma particular",HelpDesk,Part-Time,8000,422,Neto,200,,,,,,,3,4,No,No recibo bono,Dos,25,No,No cambie de empresa
Hombre,18 - 20,GBA,1,1,No,0,Universitario,En curso,Sistemas,"Si, de forma particular",HelpDesk,Part-Time,8000,422,Bruto,10,,,,,,,4,3,No,No recibo bono,No,0,No,No cambie de empresa
Mujer,31 - 33,Cordoba,10+,3,Si,1,Terciario,Incompleto,traductorado ingles,"Si, de forma particular",Developer,Full-Time,8000,422,Bruto,10001,,"Java, Javascript",,,,,1,2,No,No recibo bono,No,0,No,No cambie de empresa
Mujer,24 - 26,Santa Fe,2,2,Si,1,Universitario,En curso,Ingenieria en Sistemas de Informacion,"Si, de forma particular",Developer,Part-Time,8000,422,Neto,10,,"CSS, HTML, Javascript, jQuery, Python",,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,Tucuman,6,2,No,0,Universitario,En curso,Ingenieria en Sistemas de Informacion,"Si, de forma particular",Networking,Part-Time,8100,427,Bruto,100,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,Rio Negro,4,Menos de un ano,Si,1,Terciario,Completado,,"Si, de forma particular",SysAdmin / DevOps,Part-Time,8146,429,Neto,50,"Linux, Windows, VMWare","C, C++, CSS, HTML, PHP",,,,,2,2,No,No recibo bono,Dos,10,No,No cambie de empresa
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,2,Menos de un ano,No,0,Terciario,Completado,Tecnico Informatico,"Si, de forma particular",HelpDesk,Full-Time,8305,438,Neto,50,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Ingenieria en computacion,"Si, de forma particular",Developer,Part-Time,8500,448,Neto,10,,"CSS, HTML, Javascript, jQuery, PHP",,,,,3,3,No,No recibo bono,No,0,Si,Desafios profesionales
Hombre,18 - 20,Provincia de Buenos Aires,5,Menos de un ano,No,0,Secundario,Completado,Tecnico Informatico,No,Developer,Part-Time,8500,448,Neto,1000,,"CSS, HTML, Javascript, jQuery, PHP",,,,,2,4,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,GBA,3,3,Si,10,Terciario,En curso,Profesorado de historia,No,HelpDesk,Full-Time,8500,448,Bruto,50,,,,,,,2,4,No,No recibo bono,Dos,13,Si,Salario
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Ing Informatica,No,Soporte General,Part-Time,8600,453,Neto,500,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Jujuy,1,1,No,0,Universitario,Completado,Analista Programador Universitario,No,Developer,Part-Time,8860,467,Neto,10,,"CSS, HTML, Java, Javascript, jQuery, NodeJS, PHP",,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,Si,1,Universitario,En curso,Abogacia,"Si, de forma particular",Storage / Backup,Part-Time,9000,474,Neto,50,,,,,,,3,4,Un sueldo,Performance individual,Uno,30,No,No cambie de empresa
Hombre,27 - 30,Jujuy,2,Menos de un ano,No,0,Universitario,En curso,ing inf,"Si, de forma particular",Developer,Full-Time,9000,474,Neto,50,,".NET, C#, CSS, HTML, Javascript, NodeJS",,,,,2,3,Menos de un sueldo,nada,No,0,No,No cambie de empresa
