Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Enero 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3,Menos de un ano,No,0,Analista funcional,Full-Time,33000,1963,Bruto,1001,,,,,,,,,,3,2,No,No recibo bono,No,0,Si,Desafios profesionales,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,4,Menos de un ano,No,0,Analista funcional,Full-Time,31000,1844,Bruto,100,,,,,,,,,,3,3,No,No recibo bono,No,0,Si,Desvinculacion masiva,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,27 - 30,Provincia de Buenos Aires,3,Menos de un ano,No,0,Analista Funcional,Full-Time,30000,1784,Bruto,1000,,,,,,,,,,3,3,Menos de un sueldo,Mix de las anteriores,Dos,12,No,No cambie de empresa,"Aumento por inflacion, Bonos por desempeno, Horarios flexibles, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Santa Fe,4,Menos de un ano,No,0,Analista funcional,Full-Time,27000,1606,Neto,500,,,,,,,,,,3,2,Menos de un sueldo,Performance de la compania,Uno,15,Si,Desafios profesionales,"Aumento por inflacion, Comidas pagas/subvencionadas"
Hombre,27 - 30,Cordoba,3,3,No,0,Analista Funcional,Full-Time,16400,975,Neto,200,,,,,,,,,,1,2,No,Performance de la compania,Uno,25,No,No cambie de empresa,"Aumento por inflacion, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), WFH (Trabajar desde casa)"
Mujer,27 - 30,Ciudad Autonoma de Buenos Aires,6,Menos de un ano,No,0,Analista funcional,Full-Time,32000,1903,Bruto,1001,,,,,,,,,,4,3,Menos de un sueldo,Mix de las anteriores,No,0,Si,Salario,"Abono de celular y/o Internet, Bonos por desempeno, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop"
Mujer,27 - 30,Ciudad Autonoma de Buenos Aires,7,3,No,0,Analista funcional,Tercerizado (trabajo a traves de consultora o agencia),32000,1903,Bruto,1001,,,,,,,,,,2,2,Un sueldo,Performance individual,No,0,No,No cambie de empresa,"Abono de celular y/o Internet, Bonos por desempeno, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Mujer,27 - 30,Ciudad Autonoma de Buenos Aires,5,3,No,0,Analista Funcional,Full-Time,25000,1487,Neto,100,,,,,,,,,,2,2,No,No recibo bono,Uno,17,No,No cambie de empresa,"Clases de idiomas, Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,27 - 30,Mendoza,10+,5,No,0,Analista funcional,Full-Time,24800,1475,Neto,100,,,,,,,,,,2,1,No,A nada,Uno,10,No,No cambie de empresa,"Comidas pagas/subvencionadas, Descuentos en gimnasios"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,4,1,No,0,Analista funcional,Full-Time,33000,1963,Bruto,200,,,,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,5,Menos de un ano,No,0,Analista funcional,Full-Time,27000,1606,Bruto,1000,,,,,,,,,,3,2,No,No recibo bono,No,0,Si,Salario,WFH (Trabajar desde casa)
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3,Menos de un ano,No,0,Analista funcional,Full-Time,27000,1606,Bruto,1000,,,,,,,,,,3,2,No,No recibo bono,No,0,Si,Salario,Ninguna de las anteriores
